year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrigation
2024,1,1,6,0,0,0.25,0.28,0.22,0.30,0.27,1
2024,1,1,7,0,0,0.26,0.29,0.24,0.31,0.28,0
2024,1,1,8,0,0,0.28,0.31,0.26,0.33,0.30,0
2024,1,1,9,0,0,0.30,0.33,0.28,0.35,0.32,0
2024,1,1,10,0,0,0.32,0.35,0.30,0.37,0.34,0
2024,1,1,11,0,0,0.31,0.34,0.29,0.36,0.33,0
2024,1,1,12,0,0,0.30,0.33,0.28,0.35,0.32,0
2024,1,1,13,0,0,0.29,0.32,0.27,0.34,0.31,0
2024,1,1,14,0,0,0.28,0.31,0.26,0.33,0.30,0
2024,1,1,15,0,0,0.27,0.30,0.25,0.32,0.29,0
2024,1,1,16,0,0,0.26,0.29,0.24,0.31,0.28,1
2024,1,1,17,0,0,0.28,0.31,0.26,0.33,0.30,0
2024,1,1,18,0,0,0.35,0.38,0.33,0.40,0.37,0
2024,1,1,19,0,0,0.42,0.45,0.40,0.47,0.44,0
2024,1,1,20,0,0,0.48,0.51,0.46,0.53,0.50,0
2024,1,1,21,0,0,0.52,0.55,0.50,0.57,0.54,0
2024,1,1,22,0,0,0.55,0.58,0.53,0.60,0.57,0
2024,1,1,23,0,0,0.57,0.60,0.55,0.62,0.59,0
2024,1,2,0,0,0,0.58,0.61,0.56,0.63,0.60,0
2024,1,2,1,0,0,0.59,0.62,0.57,0.64,0.61,0
2024,1,2,2,0,0,0.60,0.63,0.58,0.65,0.62,0
2024,1,2,3,0,0,0.60,0.63,0.58,0.65,0.62,0
2024,1,2,4,0,0,0.60,0.63,0.58,0.65,0.62,0
2024,1,2,5,0,0,0.59,0.62,0.57,0.64,0.61,0
2024,1,2,6,0,0,0.58,0.61,0.56,0.63,0.60,0
2024,1,2,7,0,0,0.55,0.58,0.53,0.60,0.57,0
2024,1,2,8,0,0,0.52,0.55,0.50,0.57,0.54,0
2024,1,2,9,0,0,0.48,0.51,0.46,0.53,0.50,0
2024,1,2,10,0,0,0.44,0.47,0.42,0.49,0.46,0
2024,1,2,11,0,0,0.40,0.43,0.38,0.45,0.42,0
2024,1,2,12,0,0,0.36,0.39,0.34,0.41,0.38,0
2024,1,2,13,0,0,0.32,0.35,0.30,0.37,0.34,0
2024,1,2,14,0,0,0.28,0.31,0.26,0.33,0.30,1
2024,1,2,15,0,0,0.30,0.33,0.28,0.35,0.32,0
2024,1,2,16,0,0,0.35,0.38,0.33,0.40,0.37,0
2024,1,2,17,0,0,0.42,0.45,0.40,0.47,0.44,0
2024,1,2,18,0,0,0.50,0.53,0.48,0.55,0.52,0
2024,1,2,19,0,0,0.58,0.61,0.56,0.63,0.60,0
